bill_id,bill_number,approve_count,disapprove_count,no_opinion_count,total_votes
s843-119,S.843,1,0,0,1
hr1710-119,H.R.1710,1,0,0,1
s688-119,S.688,1,0,0,1
hr4392-119,H.R.4392,0,1,0,1
hr4619-119,H.R.4619,1,0,0,1
s3171-119,S.3171,1,0,0,1
hr1047-119,H.R.1047,1,0,0,1
hr1343-119,H.R.1343,1,0,0,1
hr504-119,H.R.504,0,1,0,1
hr1676-119,H.R.1676,0,1,0,1
hr5760-119,H.R.5760,2,0,0,2
hr1296-119,H.R.1296,0,1,0,1
hr4886-119,H.R.4886,0,1,0,1
hr7074-119,H.R.7074,1,0,0,1
s1092-119,S.1092,0,1,0,1
hr5401-119,H.R.5401,1,0,0,1
hr4721-119,H.R.4721,0,1,0,1
hr6920-119,H.R.6920,1,0,0,1
s3446-119,S.3446,0,1,0,1
hr845-119,H.R.845,1,0,0,1
s6-119,S.6,0,1,0,1
s3812-119,S.3812,0,0,1,1
hr2196-119,H.R.2196,1,0,0,1
s1277-119,S.1277,1,0,0,1
hr5184-119,H.R.5184,0,1,0,1
hr5222-119,H.R.5222,0,1,0,1
s2838-119,S.2838,0,1,0,1
hr6924-119,H.R.6924,0,1,0,1
hr6474-119,H.R.6474,0,1,0,1
hr5442-119,H.R.5442,0,0,1,1
hr5388-119,H.R.5388,0,0,1,1
hr6652-119,H.R.6652,1,0,0,1
hr6662-119,H.R.6662,2,0,0,2
hr4776-119,H.R.4776,1,0,0,1
s1204-119,S.1204,0,0,1,1
s607-119,S.607,0,1,0,1
hr1958-119,H.R.1958,1,0,0,1
hr4855-119,H.R.4855,0,0,1,1
s609-119,S.609,0,1,0,1
s2738-119,S.2738,0,1,0,1
hr2312-119,H.R.2312,1,0,0,1
hr6449-119,H.R.6449,1,0,0,1
hr2270-119,H.R.2270,0,1,0,1
hr4457-119,H.R.4457,0,2,0,2
s2406-119,S.2406,1,0,0,1
hr6713-119,H.R.6713,0,2,0,2
hr2683-119,H.R.2683,1,0,0,1
hr2830-119,H.R.2830,0,1,0,1
hr5709-119,H.R.5709,1,0,0,1
hr6031-119,H.R.6031,0,2,0,2
hr5275-119,H.R.5275,0,0,1,1
hr6418-119,H.R.6418,0,1,0,1
hr5464-119,H.R.5464,0,1,0,1
hr5491-119,H.R.5491,0,0,1,1
hr345-119,H.R.345,0,2,0,2
hr1608-119,H.R.1608,1,0,0,1
hr2659-119,H.R.2659,1,0,0,1
hr1949-119,H.R.1949,1,0,0,1
hr3492-119,H.R.3492,1,0,0,1
hr3616-119,H.R.3616,1,0,0,1
hr4928-119,H.R.4928,0,0,1,1
hr5574-119,H.R.5574,0,2,0,2
